api_num,other_id,latitude,longitude,stusps,county,municipality,well_name,operator,spud_date,plug_date,well_type,well_status,well_configuration,ft_category,wellwiki,src_url,ft_uid
47-015-00002,015-00002,"37.0462224768942","-81",WV,"015",,"BROWN, GOSHORN & SWANN","COLUMBIA GAS TRANSMISSION, LLC",,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-015-00002,,"4624886"
47-015-00005,015-00005,"37.0462224768942","-81",WV,"015",,"COX, FRANK",ROUZER OIL COMPANY,,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-015-00005,,"4624887"
47-015-00034,015-00034,"38.667954935032185","-79.76222256944536",WV,"015",,US DEPT INT.,"COLUMBIA GAS TRANSMISSION, LLC",,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-015-00034,,"4624888"
47-015-00055,015-00055,"38.442134796977214","-81.17652709770542",WV,"015",,"GROSE, M. & R. CUNNINGHAM",ROUZER OIL COMPANY,,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-015-00055,,"4624889"
47-015-00116,015-00116,"38.40587035840986","-81.10838695066421",WV,"015",,MARY WEATHERELL ESTATE,"HOPE GAS, INC.",,,Unknown,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-015-00116,,"4624890"
47-015-00123,015-00123,"38.373765551127065","-81.05226912221005",WV,"015",,"DAVENPORT, HENRY B.","HOPE GAS, INC.",,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-015-00123,,"4624891"
47-015-00126,015-00126,"38.425537023248296","-81.20058974703468",WV,"015",,THOMPSON LAND & COAL CO.,"HOPE GAS, INC.",,,Unknown,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-015-00126,,"4624892"
47-015-00127,015-00127,"38.41067234714812","-81.18346497279802",WV,"015",,THOMPSON LAND & COAL CO.,"HOPE GAS, INC.",,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-015-00127,,"4624893"
47-015-00330,015-00330,"38.49860831053776","-80.96449293689781",WV,"015",,ELK RIVER COAL & LUMBER,"COLUMBIA GAS TRANSMISSION, LLC",,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-015-00330,,"4624894"
47-015-00396,015-00396,"38.51404423384909","-81.15715930887572",WV,"015",,"BELCHER, T. R.","COLUMBIA GAS TRANSMISSION, LLC",,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-015-00396,,"4624895"
47-015-00585,015-00585,"38.48767950690638","-81.10550981942073",WV,"015",,"SIZEMORE, JACK & CONNIE","CHESAPEAKE APPALACHIA, L.L.C.",,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-015-00585,,"4624896"
47-015-00607,015-00607,"38.487832812702656","-81.09485676215051",WV,"015",,"JAMES, M. S., ETAL","CHESAPEAKE APPALACHIA, L.L.C.",,,Oil Production,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-015-00607,,"4624897"
47-107-01430,107-01430,"39.25574714598364","-81.43088304667256",WV,"107",,"GILBERT, MARK & TINA ETAL",G & S DRILLING COMPANY,,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-107-01430,,"4624898"
47-107-01440,107-01440,"39.21640404092734","-81.67508983561864",WV,"107",,"HAMILTON, R. M.",DIVERSIFIED PRODUCTION LLC,,,Oil Production,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-107-01440,,"4624899"
47-107-01441,107-01441,"39.20931372059981","-81.40053632402143",WV,"107",,"JONES, EDGAR L.",AMERICAN ENERGY CORPORATION,,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-107-01441,,"4624900"
47-107-01443,107-01443,"39.304379903087614","-81.55831374964633",WV,"107",,"DILS, SHERMAN III","DILS, SHERMAN III DBA DILS OIL & GAS",,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-107-01443,,"4624901"
47-107-01444,107-01444,"39.30670203851224","-81.56074006425908",WV,"107",,"DILS, SHERMAN III","DILS, SHERMAN III DBA DILS OIL & GAS",,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-107-01444,,"4624902"
47-107-01449,107-01449,"39.29981508108818","-81.55963566143406",WV,"107",,"DILS, SHERMAN III","DILS, SHERMAN III DBA DILS OIL & GAS",,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-107-01449,,"4624903"
47-107-01450,107-01450,"39.30274660554725","-81.5611437716157",WV,"107",,"DILS, SHERMAN III","DILS, SHERMAN III DBA DILS OIL & GAS",,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-107-01450,,"4624904"
47-107-01510,107-01510,"39.24559368784917","-81.39736789436873",WV,"107",,"HAMMETT, SAM / HESS","MCCULLOUGH, BENJAMIN F.",,,Not Available,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-107-01510,,"4624905"
47-107-01569,107-01569,"39.22961897367978","-81.66651200638788",WV,"107",,"MATHENY, DONALD R.",DIVERSIFIED PRODUCTION LLC,,,Unknown,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-107-01569,,"4624906"
47-107-01576,107-01576,"39.228869214938065","-81.677764592391",WV,"107",,"KIRK, GEORGE","HYDROCARBON EXPLORATION, INC.",,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-107-01576,,"4624907"
47-107-01577,107-01577,"39.22882112982064","-81.67828525415388",WV,"107",,"KIRK, GEORGE","HYDROCARBON EXPLORATION, INC.",,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-107-01577,,"4624908"
47-107-01578,107-01578,"39.227966290259374","-81.678853753784",WV,"107",,"KIRK, GEORGE","HYDROCARBON EXPLORATION, INC.",,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-107-01578,,"4624909"
47-013-04192,013-04192,"38.68941304576784","-81.09482453854717",WV,"013",,"SAMPSON, LOWELL","SAMPSON, LOWELL",,,Unknown,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-013-04192,,"4624910"
47-015-01295,015-01295,"37.0462224768942","-81",WV,"015",,"WILSON, ALBERT","SAGLIO, INC.",,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-015-01295,,"4624911"
47-015-01412,015-01412,"38.382953535533304","-80.99854131268734",WV,"015",,"BARRINGER, PAUL II, TRUST","RANGE RESOURCES - PINE MOUNTAIN, INC.",,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-015-01412,,"4624912"
47-015-01508,015-01508,"38.542623588507546","-80.9421432646563",WV,"015",,"SCHOOLCRAFT, FREDDIE","ASSEFF, GEORGE S OIL & GAS COMPANY",,,Unknown,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-015-01508,,"4624913"
47-015-01514,015-01514,"38.539824458569534","-80.93644142383297",WV,"015",,"STEWART, LIBELO FAITH","ASSEFF, GEORGE S OIL & GAS COMPANY",,,Unknown,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-015-01514,,"4624914"
47-015-00223,015-00223,"38.38681353005224","-81.16185758091257",WV,"015",,"SWARTZ, MARION - HEIRS",SOUTHEASTERN GAS COMPANY,,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-015-00223,,"4624915"
