api_num,other_id,latitude,longitude,stusps,county,municipality,well_name,operator,spud_date,plug_date,well_type,well_status,well_configuration,ft_category,wellwiki,src_url,ft_uid
47-001-02794,001-02794,"39.183081877468304","-80.0654579960462",WV,"001",,"MAYLE, JAMES W.","MAYLE, JAMES",,,Unknown,Never Issued,Vertical,Not Drilled,https://wellwiki.org/wiki/47-001-02794,,"4620423"
47-103-00010,103-00010,"37.0462224768942","-81",WV,"103",,"JENNINGS, H.A.",OPERATOR UNKNOWN,,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-103-00010,,"4620424"
47-001-01032,001-01032,"39.217185588402046","-80.07672833268181",WV,"001",,"SAYERS, EZRA",WOLF RUN MINING LLC,,,Gas Production,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-001-01032,,"4620425"
47-013-04566,013-04566,"38.804540919629254","-81.0733817488815",WV,"013",,"MACE, BEULAH C.","GREER, INC.",,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-013-04566,,"4620426"
47-017-00167,017-00167,"39.28086320181601","-80.87310951167134",WV,"017",,"CARDER, A. A.",CARNEGIE PRODUCTION COMPANY,,,Unknown,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-017-00167,,"4620427"
47-017-03555,017-03555,"39.141791895864934","-80.66909730999728",WV,"017",,"ADAMS, JACK D.",CONSOL GAS COMPANY,,,Gas Production,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-017-03555,,"4620428"
47-033-03467,033-03467,"39.18804238152847","-80.52568949275279",WV,"033",,"REED, LYNN",EMAX OIL COMPANY,,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-033-03467,,"4620429"
47-035-00742,035-00742,"38.848777396958795","-81.84854468476689",WV,"035",,"ANKRUM, L. O.",OPERATOR UNKNOWN,,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-035-00742,,"4620430"
47-043-02173,043-02173,"38.27260347266657","-81.91498094144161",WV,"043",,"PAULEY, REXFOED D.","C. I. MCKOWN & SON, INC.",,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-043-02173,,"4620431"
47-045-00632,045-00632,"37.75512046068395","-81.8523914454278",WV,"045",,"SHITE, E N",OPERATOR UNKNOWN,,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-045-00632,,"4620432"
47-005-00168,005-00168,"38.04932727901898","-81.84840578307681",WV,"005",,"MYERS, LETHA",LIBBEY OWENS GAS,,,Unknown,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-005-00168,,"4620433"
47-049-00746,049-00746,"39.41461914039794","-80.12530867904921",WV,"049",,FOSTER,EMAX OIL COMPANY,,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-049-00746,,"4620434"
47-047-02626,047-02626,"37.42996513749506","-81.93617677875224",WV,"047",,WV DNR,EQT PRODUCTION COMPANY,,,Unknown,Never Issued,Vertical,Not Drilled,https://wellwiki.org/wiki/47-047-02626,,"4620435"
47-053-00020,053-00020,"38.53826988128532","-82.11275171743293",WV,"053",,"HINER, VELMA K.",OPERATOR UNKNOWN,,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-053-00020,,"4620436"
47-067-00246,067-00246,"38.38086416848725","-80.71279598508013",WV,"067",,TIOGA LUMBER CO,OPERATOR UNKNOWN,,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-067-00246,,"4620437"
47-007-00266,007-00266,"38.74458074601566","-80.81273441530328",WV,"007",,"MOORE, MONROE","MOORE, MONROE",,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-007-00266,,"4620438"
47-073-00118,073-00118,"39.45594543610491","-81.05928404249472",WV,"073",,"DOTH, G. M.",OPERATOR UNKNOWN,,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-073-00118,,"4620439"
47-081-00170,081-00170,"37.832574378975416","-81.40152055957975",WV,"081",,"JONES, LUTHER","HOPE GAS, INC.",,,Unknown,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-081-00170,,"4620440"
47-005-01221,005-01221,"38.0828522279699","-81.89209249076424",WV,"005",,"BYRNSIDE, DORA","EAST RESOURCES, INC.",,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-005-01221,,"4620441"
47-085-00372,085-00372,"39.29349771006692","-81.12987387642916",WV,"085",,"SCADDEN, A.C.",OPERATOR UNKNOWN,,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-085-00372,,"4620442"
47-085-01119,085-01119,"39.08124047266578","-81.1376151434952",WV,"085",,"HAUGHT, J.",SALVAGE OIL & GAS CORP.,,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-085-01119,,"4620443"
