api_num,other_id,latitude,longitude,stusps,county,municipality,well_name,operator,spud_date,plug_date,well_type,well_status,well_configuration,ft_category,wellwiki,src_url,ft_uid
47-105-80015,105-80015,"37.0462224768942","-81",WV,"105",,Bell,OPERATOR UNKNOWN,,,Not Available,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-105-80015,,"4621592"
47-107-80453,107-80453,"39.329202998331056","-81.37145032157686",WV,"107",,WINGROVE,OPERATOR UNKNOWN,,,Not Available,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-107-80453,,"4621593"
47-107-80454,107-80454,"37.0462224768942","-81",WV,"107",,WINGROVE,OPERATOR UNKNOWN,,,Not Available,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-107-80454,,"4621594"
47-105-00885,105-00885,"38.97324441840891","-81.31338832159734",WV,"105",,"O'BRIEN, DENNIS",GREAT WESTERN DRILLING INC,,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-105-00885,,"4621595"
47-105-01090,105-01090,"39.0830846882304","-81.37594547510264",WV,"105",,"CALE, CLYDE",ALAN GABLE OIL DEVELOPMENT COMPANY,,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-105-01090,,"4621596"
47-105-01092,105-01092,"37.0462224768942","-81",WV,"105",,"BUMGARNER, ROY, ET AL",ALAN GABLE OIL DEVELOPMENT COMPANY,,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-105-01092,,"4621597"
47-105-01098,105-01098,"37.0462224768942","-81",WV,"105",,"BUMGARNER, PAUL & JOHN",ALAN GABLE OIL DEVELOPMENT COMPANY,,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-105-01098,,"4621598"
47-105-01107,105-01107,"39.10223395645713","-81.38934893751811",WV,"105",,"NOBLE, HAROLD",ALAN GABLE OIL DEVELOPMENT COMPANY,,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-105-01107,,"4621599"
47-105-01148,105-01148,"38.99529184439359","-81.29106128456642",WV,"105",,"KIRBY, FRED W.","H. D. WELLS OIL & GAS EXPLORATION AND DEVELOPMENT, INC.",,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-105-01148,,"4621600"
47-107-00567,107-00567,"39.34617767814262","-81.49994871036496",WV,"107",,"BROOKOVER, JAMES",BIG D INDUSTRIAL EQUIPMENT INC,,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-107-00567,,"4621601"
47-105-01176,105-01176,"39.0085103961198","-81.29931926991341",WV,"105",,"REYNOLDS, CHARLES","H. D. WELLS OIL & GAS EXPLORATION AND DEVELOPMENT, INC.",,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-105-01176,,"4621602"
47-103-00181,103-00181,"39.696125954977134","-80.62045551074812",WV,"103",,"MILLER, ESTEL","HOPE GAS, INC.",,,Unknown,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-103-00181,,"4621603"
47-105-01196,105-01196,"39.00691403973395","-81.29094836842964",WV,"105",,"FLORENCE, JOHN","DURST OIL & GAS, INC.",,,Gas Production,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-105-01196,,"4621604"
47-103-01797,103-01797,"39.63220411526103","-80.67379970762256",WV,"103",,"WEST, MORRIS",CHISLER BROTHERS CONTRACTING LIMITED LIABILITY COMPANY,,,Not Available,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-103-01797,,"4621605"
47-001-01008,001-01008,"39.20111835843923","-80.19425255634262",WV,"001",,"BRANNON, MARGARET",WV MINERAL GROUP LLC,,,Unknown,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-001-01008,,"4621606"
47-001-01012,001-01012,"39.23456493491272","-80.05507168371867",WV,"001",,"YOUNG, E. L.",WV MINERAL GROUP LLC,,,Unknown,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-001-01012,,"4621607"
47-001-01027,001-01027,"39.19690825855039","-80.0666158376045",WV,"001",,"McKEEN, MINNIE",WV MINERAL GROUP LLC,,,Gas Production,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-001-01027,,"4621608"
47-001-01029,001-01029,"39.21745083322835","-80.00244613546229",WV,"001",,HALL-MITCHELL,WV MINERAL GROUP LLC,,,Gas Production,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-001-01029,,"4621609"
47-001-01044,001-01044,"37.0462224768942","-81",WV,"001",,"HILLYARD, H.",BEREA OIL & GAS CORP.,,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-001-01044,,"4621610"
47-001-01045,001-01045,"39.206121871022184","-80.07090771938252",WV,"001",,"SAYERS, E.",WV MINERAL GROUP LLC,,,Gas Production,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-001-01045,,"4621611"
