api_num,other_id,latitude,longitude,stusps,county,municipality,well_name,operator,spud_date,plug_date,well_type,well_status,well_configuration,ft_category,wellwiki,src_url,ft_uid
34-081-61410,"61410","40.55279236","-80.73142461",OH,,,HOUSEHOLDER JF 1 1,CLOVIS AND CO,1/1/1900,,OG_R,pl_oil_gas,,Plugged,https://wellwiki.org/wiki/34-081-61410,,"1959566"
34-067-60210,"60210","40.32388397","-81.03947251",OH,,, ,,1/1/1900,,UN_R,pl_oil,,Plugged,https://wellwiki.org/wiki/34-067-60210,,"1959961"
34-167-66007,"66007","39.46974247","-81.18566709",OH,,,YOST     1 1,,1/1/1900,,OG_R,oil,,Production Well,https://wellwiki.org/wiki/34-167-66007,,"1960226"
34-003-61563,"61563","40.79843123","-83.96561729",OH,,, ,,1/1/1900,,UN_R,oil,,Production Well,https://wellwiki.org/wiki/34-003-61563,,"1960862"
34-143-60167,"60167","41.39237016","-83.2522364",OH,,,STULTZ & MOLL     3 3,CHRISTOPHER NIESET,1/1/1900,,OG_R,oil,,Production Well,https://wellwiki.org/wiki/34-143-60167,,"1960964"
34-063-61298,"61298","41.05684727","-83.51028823",OH,,, ,,1/1/1900,,UN_R,oil,,Production Well,https://wellwiki.org/wiki/34-063-61298,,"1961008"
34-063-66514,"66514","41.16493735","-83.71141632",OH,,, ,,1/1/1900,,UN_R,oil,,Production Well,https://wellwiki.org/wiki/34-063-66514,,"1961222"
34-173-61014,"61014","41.39718777","-83.49390883",OH,,, ,,1/1/1900,,UN_R,oil,,Production Well,https://wellwiki.org/wiki/34-173-61014,,"1961413"
34-063-63541,"63541","41.07621689","-83.69547406",OH,,," 6",,1/1/1900,,UN_R,oil,,Production Well,https://wellwiki.org/wiki/34-063-63541,,"1961630"
34-121-61039,"61039","39.69390117","-81.42354459",OH,,," 1",,1/1/1900,,UN_R,oil,,Production Well,https://wellwiki.org/wiki/34-121-61039,,"1961781"
34-167-62237,"62237","39.51505366","-81.1890092",OH,,, ,,1/1/1900,,UN_R,oil,,Production Well,https://wellwiki.org/wiki/34-167-62237,,"1961865"
34-169-60062,"60062","40.97497106","-81.9368062",OH,,,STEEL C F 2,O.F.G.,1/1/1900,,OG_R,gas,,Production Well,https://wellwiki.org/wiki/34-169-60062,,"1961893"
34-003-62178,"62178","40.79088432","-84.37721611",OH,,, ,,1/1/1900,,UN_R,oil,,Production Well,https://wellwiki.org/wiki/34-003-62178,,"1961934"
34-123-60025,"60025","41.53967227","-82.85436068",OH,,, OTR,,1/1/1900,,UN_R,oil,,Production Well,https://wellwiki.org/wiki/34-123-60025,,"1962198"
34-083-61151,"61151","40.4268963","-82.30003811",OH,,," 1",,1/1/1900,,UN_R,gas,,Production Well,https://wellwiki.org/wiki/34-083-61151,,"1958114"
34-083-61182,"61182","40.41070226","-82.36654976",OH,,, ,,1/1/1900,,UN_R,gas,,Production Well,https://wellwiki.org/wiki/34-083-61182,,"1958115"
34-011-62013,"62013","40.55062214","-84.43638484",OH,,, ,,1/1/1900,,UN_R,oil_gas,,Production Well,https://wellwiki.org/wiki/34-011-62013,,"1958116"
34-011-62041,"62041","40.50895255","-84.44298174",OH,,," 5",,1/1/1900,,UN_R,oil_gas,,Production Well,https://wellwiki.org/wiki/34-011-62041,,"1958117"
34-003-60201,"60201","40.74258281","-84.31094091",OH,,, ,,1/1/1900,,UN_R,oil,,Production Well,https://wellwiki.org/wiki/34-003-60201,,"1959154"
34-003-60227,"60227","40.72497232","-84.33344365",OH,,, ,,1/1/1900,,UN_R,oil,,Production Well,https://wellwiki.org/wiki/34-003-60227,,"1959155"
34-083-61519,"61519","40.49803468","-82.2463368",OH,,,LOWER JOHN 3 3,E.O.G.,1/1/1900,,OG_R,gas,,Production Well,https://wellwiki.org/wiki/34-083-61519,,"1958118"
34-011-60057,"60057","40.6489109","-84.19013951",OH,,," 3",,1/1/1900,,UN_R,pl_oil,,Plugged,https://wellwiki.org/wiki/34-011-60057,,"1959156"
34-083-61545,"61545","40.55619333","-82.25841543",OH,,,HENLEY CHARLES W 8 8,O.F.G.,11/29/1920,,OG_R,gas,,Production Well,https://wellwiki.org/wiki/34-083-61545,,"1958119"
34-011-62858,"62858","40.59514046","-84.26135728",OH,,," 1",,1/1/1900,,UN_R,pl_oil,,Plugged,https://wellwiki.org/wiki/34-011-62858,,"1958120"
34-003-61017,"61017","40.75292984","-84.03062248",OH,,, ,,1/1/1900,,UN_R,oil,,Production Well,https://wellwiki.org/wiki/34-003-61017,,"1959157"
34-011-63419,"63419","40.49419721","-84.42533235",OH,,,DOENGES C 6 6,OHIO OIL CO,,,OG_R,oil_gas,,Production Well,https://wellwiki.org/wiki/34-011-63419,,"1958121"
34-063-63460,"63460","41.06936293","-83.70229203",OH,,, ,,1/1/1900,,UN_R,oil,,Production Well,https://wellwiki.org/wiki/34-063-63460,,"1959613"
34-063-63477,"63477","41.06724022","-83.69391874",OH,,, ,,1/1/1900,,UN_R,oil,,Production Well,https://wellwiki.org/wiki/34-063-63477,,"1959614"
34-013-20346,"20346","40.05058396","-80.78968094",OH,,,R COWEN # 4 4,APPALACHIAN ENERGY INC.,,,OG_R,ex_permit,,Not Drilled,https://wellwiki.org/wiki/34-013-20346,,"1958122"
34-013-20378,"20378","39.88457869","-81.13250922",OH,,,BARKER # 2 2,SUPERIOR PETROLEUM INC.,,,OG_R,ex_permit,,Not Drilled,https://wellwiki.org/wiki/34-013-20378,,"1958123"
34-013-60229,"60229","39.96040211","-80.77013315",OH,,,MCMILLEN JULIA E 1 1,PATRICK GALLAGHER,,,OG_R,ex_permit,,Not Drilled,https://wellwiki.org/wiki/34-013-60229,,"1958124"
34-063-63488,"63488","41.07096327","-83.69278552",OH,,, ,,1/1/1900,,UN_R,oil,,Production Well,https://wellwiki.org/wiki/34-063-63488,,"1959615"
34-031-22713,"22713","40.34102326","-81.9594211",OH,,,RIVER VIEW LOCAL SCHOOL # 1 1,OTEX INC.,1/17/1976,,OG_R,pl_gas,,Plugged,https://wellwiki.org/wiki/34-031-22713,,"1958159"
34-003-61126,"61126","40.73370315","-84.06988756",OH,,, ,,1/1/1900,,UN_R,oil,,Production Well,https://wellwiki.org/wiki/34-003-61126,,"1957436"
34-003-61131,"61131","40.7444908","-84.07100556",OH,,, ,,1/1/1900,,UN_R,oil,,Production Well,https://wellwiki.org/wiki/34-003-61131,,"1957437"
34-003-61190,"61190","40.74716199","-84.06840131",OH,,, ,,1/1/1900,,UN_R,oil,,Production Well,https://wellwiki.org/wiki/34-003-61190,,"1957438"
34-115-62731,"62731","39.62159907","-81.9402208",OH,,, ,,1/1/1900,,UN_R,oil,,Production Well,https://wellwiki.org/wiki/34-115-62731,,"1958434"
34-115-62179,"62179","39.62281712","-81.93262808",OH,,, ,,1/1/1900,,UN_R,oil,,Production Well,https://wellwiki.org/wiki/34-115-62179,,"1958469"
34-127-61827,"61827","39.68845602","-82.34612607",OH,,,FORSYTHER SAM 2 2,RELIANCE OIL CORP.,12/12/1921,,OG_R,pl_oil,,Plugged,https://wellwiki.org/wiki/34-127-61827,,"1957542"
