api_num,other_id,latitude,longitude,stusps,county,municipality,well_name,operator,spud_date,plug_date,well_type,well_status,well_configuration,ft_category,wellwiki,src_url,ft_uid
34-075-60630,"60630","40.53642546","-82.15601533",OH,,, ,,1/1/1900,,UN_R,ex_permit,,Not Drilled,https://wellwiki.org/wiki/34-075-60630,,"1909667"
34-003-62396,"62396","40.67380047","-84.08891898",OH,,, ,,1/1/1900,,UN_R,pl_oil,,Plugged,https://wellwiki.org/wiki/34-003-62396,,"1910206"
34-063-63906,"63906","41.05408084","-83.73450801",OH,,," 7",,1/1/1900,,OG_R,pl_oil,,Plugged,https://wellwiki.org/wiki/34-063-63906,,"1910301"
34-167-66371,"66371","39.44452946","-81.1548491",OH,,,RIGGS     4 4,,1/1/1900,,OG_R,oil_gas,,Production Well,https://wellwiki.org/wiki/34-167-66371,,"1909544"
34-151-23553,"23553","40.88607235","-81.30846309",OH,,,GREER # 1 1,MB OPERATING CO. INC.,7/30/1981,,OG_R,pl_oil_gas,,Plugged,https://wellwiki.org/wiki/34-151-23553,,"1909816"
34-163-60732,"60732","39.19570696","-82.5618744",OH,,,WORTMAN JANE A 1 1,O F G,1/1/1900,,OG_R,pl_oil_gas,,Plugged,https://wellwiki.org/wiki/34-163-60732,,"1909850"
34-099-60882,"60882","40.96746589","-80.58094477",OH,,," 9",,1/1/1900,,UN_R,pl_oil,,Plugged,https://wellwiki.org/wiki/34-099-60882,,"1909851"
34-053-20217,"20217","38.90233218","-82.19999538",OH,,,MINK D.& M. 1,W.J. LYDIC,,,OG_R,ex_permit,,Not Drilled,https://wellwiki.org/wiki/34-053-20217,,"1909955"
34-167-66260,"66260","39.42566133","-81.25163002",OH,,,KESSELRING     7 7,,1/1/1900,,OG_R,oil_gas,,Production Well,https://wellwiki.org/wiki/34-167-66260,,"1909543"
34-151-22171,"22171","40.68688337","-81.29267327",OH,,,MAGNOLIA MINING #4 4,BELDEN & BLAKE & CO LIMITED PARTNER #39,10/8/1970,,OG_R,oil_gas,,Production Well,https://wellwiki.org/wiki/34-151-22171,,"1909488"
34-151-22833,"22833","40.73954528","-81.63733933",OH,,,LEEMAN-BAKER UNIT # 1 1,NUCORP ENERGY CO.,4/20/1979,,OG_R,pl_oil_gas,,Plugged,https://wellwiki.org/wiki/34-151-22833,,"1909489"
34-151-22953,"22953","40.89650414","-81.14729257",OH,,,GATES # 1-196 1,VESCORP INDUSTRIES INC.,2/2/1979,,OG_R,oil_gas,,Production Well,https://wellwiki.org/wiki/34-151-22953,,"1909490"
34-151-23683,"23683","40.92989322","-81.285686",OH,,,JAMES BOETTLER etal # 2 2,H.& S. OPERATING CO.,5/3/1982,,OG_R,oil_gas,,Production Well,https://wellwiki.org/wiki/34-151-23683,,"1909491"
34-151-23799,"23799","40.7916687","-81.25941388",OH,,,SUTTON # 1 1,EVERFLOW EASTERN INC.,1/19/1983,,OG_R,oil_gas,,Production Well,https://wellwiki.org/wiki/34-151-23799,,"1909492"
34-151-23807,"23807","40.8372404","-81.20976665",OH,,,ROSIA # 1 1,NEW FRONTIER EXPLORATION,12/14/1982,,OG_R,dry,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/34-151-23807,,"1909493"
34-151-23951,"23951","40.76134833","-81.223157",OH,,,D. CLAPPER # 2 2,WITCO CHEMICAL CORP.,12/2/1983,,OG_R,oil_gas,,Production Well,https://wellwiki.org/wiki/34-151-23951,,"1909494"
34-151-24167,"24167","40.74479632","-81.49037908",OH,,,R & M KLICK #1-A 1-A,MB OPERATING CO. INC.,10/22/1985,,OG_R,oil_gas,,Production Well,https://wellwiki.org/wiki/34-151-24167,,"1909495"
34-151-24245,"24245","40.73410645","-81.18109809",OH,,,H. & L. BRAWLEY #2 # 341875 341875,BELDEN & BLAKE CO,,,OG_R,ex_permit,,Not Drilled,https://wellwiki.org/wiki/34-151-24245,,"1909496"
34-151-25095,"25095","40.91954356","-81.26348633",OH,,,MCCARTY G & B COMM #1     12290-001-00 12290-001-00,,5/27/1998,,OG_R,oil_gas,,Production Well,https://wellwiki.org/wiki/34-151-25095,,"1909497"
34-151-25116,"25116","40.69028158","-81.57526842",OH,,,P&V LAUTZENHEISER #U #2-K 2-K,,9/22/1998,,OG_R,oil_gas,,Production Well,https://wellwiki.org/wiki/34-151-25116,,"1909498"
34-151-25473,"25473","40.66701956","-81.50706821",OH,,,ADKINS UNIT     1 1,GREAT LAKES ENERGY PTNSHP LLC,3/5/2006,,OG_R,oil_gas,,Production Well,https://wellwiki.org/wiki/34-151-25473,,"1909499"
34-151-25783,"25783","40.83087171","-81.13846648",OH,,,RUMMELL FARMS     1 1,ENERVEST OPERATING L,11/15/2012,,OG_R,oil_gas,,Production Well,https://wellwiki.org/wiki/34-151-25783,,"1909500"
34-153-21874,"21874","41.15463455","-81.57541834",OH,,,E. E. PEABODY # 1 1,PINE TOP ESTATES,8/24/1984,,OG_R,oil_gas,,Production Well,https://wellwiki.org/wiki/34-153-21874,,"1909501"
34-153-21958,"21958","41.14862531","-81.55954341",OH,,,THURSBY     1A 1-A,PINE TOP ESTATES,10/5/1984,,OG_R,pl_oil_gas,,Plugged,https://wellwiki.org/wiki/34-153-21958,,"1909502"
34-153-21963,"21963","40.98203594","-81.62595227",OH,,,CULP UNIT # 1 1,APPALACHIAN EXPL. INC.,11/1/1984,,OG_R,oil_gas,,Production Well,https://wellwiki.org/wiki/34-153-21963,,"1909503"
34-153-22041,"22041","41.13478513","-81.63235019",OH,,,MONTROSE CLUB INC. # UNIT #2 2,WINDSOR ASSOC. INC.,,,OG_R,ex_permit,,Not Drilled,https://wellwiki.org/wiki/34-153-22041,,"1909504"
34-153-22122,"22122","41.19972952","-81.64530409",OH,,,J. & K. SCHMID COMM. #1 # 341590 1,BELDEN & BLAKE CO,,,OG_R,ex_permit,,Not Drilled,https://wellwiki.org/wiki/34-153-22122,,"1909505"
34-153-22173,"22173","41.260163","-81.61329242",OH,,,NOVICKY # 1 1,KST OIL & GAS CO. INC.,3/15/1987,,OG_R,oil_gas,,Production Well,https://wellwiki.org/wiki/34-153-22173,,"1909506"
34-153-22422,"22422","41.1008682","-81.52702228",OH,,,FARWELL UNIT # 1 1,SUMMIT PETROLEUM INC.,3/31/1988,,OG_R,oil_gas,,Production Well,https://wellwiki.org/wiki/34-153-22422,,"1909507"
34-153-22964,"22964","41.01280425","-81.5460759",OH,,,VANDEVERE     1 1,EVERFLOW EASTERN PTNS L P,12/21/2005,,OG_R,pl_oil_gas,,Plugged,https://wellwiki.org/wiki/34-153-22964,,"1909508"
34-155-20657,"20657","41.38983794","-80.8251266",OH,,,BRAKE DOROTHY # 1 2066,FLINT OIL & GAS,3/13/1978,,OG_R,pl_oil_gas,,Plugged,https://wellwiki.org/wiki/34-155-20657,,"1909509"
34-155-23610,"23610","41.33957377","-80.83277293",OH,,,SUPERIOR PROPERTIES # 1 1,EVERFLOW EASTERN PINS L P,2/1/1996,,OG_R,oil_gas,,Production Well,https://wellwiki.org/wiki/34-155-23610,,"1909510"
34-155-23629,"23629","41.1481026","-80.86316273",OH,,,GENERAL MOTORS CORP. # L-23 L-23,EASTERN STATES OIL & GAS,10/2/1996,,OG_R,oil_gas,,Production Well,https://wellwiki.org/wiki/34-155-23629,,"1909511"
34-155-23997,"23997","41.14294234","-80.62328345",OH,,,SCHULTE     1 1,OHIO VALLEY ENERGY SYSTEM CORP,5/4/2009,,OG_R,oil_gas,,Production Well,https://wellwiki.org/wiki/34-155-23997,,"1909512"
34-157-21611,"21611","40.43553226","-81.34292378",OH,,,HASKETT EVERHARD 1,THE MUTUAL OIL & GAS CO.,12/17/1972,,OG_R,pl_gas,,Plugged,https://wellwiki.org/wiki/34-157-21611,,"1909513"
34-157-22095,"22095","40.35265547","-81.37306522",OH,,,PANCHER     1 1,RESOURCE EXPLORATION INC.,11/10/1973,,OG_R,pl_gas,,Plugged,https://wellwiki.org/wiki/34-157-22095,,"1909514"
34-157-22128,"22128","40.30061094","-81.59851853",OH,,,TRUEXF.L. # 1 1,THE OXFORD OIL CO.,11/21/1973,,OG_R,pl_gas,,Plugged,https://wellwiki.org/wiki/34-157-22128,,"1909515"
34-157-23736,"23736","40.35589603","-81.34304898",OH,,,ROY WHITE # 1 1,EVERFLOW EASTERN INC.,9/9/1982,,OG_R,oil_gas,,Production Well,https://wellwiki.org/wiki/34-157-23736,,"1909516"
34-157-24443,"24443","40.62976935","-81.62273177",OH,,,TWILIGHT MINING # 17 17,SMAIL JAMES R,,,OG_R,ex_permit,,Not Drilled,https://wellwiki.org/wiki/34-157-24443,,"1909517"
34-157-25026,"25026","40.34599233","-81.47141085",OH,,,MILLER M #1     12245-001-00 12245-001-00,BELDEN & BLAKE CORPORATION,,,OG_R,ex_permit,,Not Drilled,https://wellwiki.org/wiki/34-157-25026,,"1909518"
34-167-61196,"61196","39.58327345","-81.44767384",OH,,,HALL JOSEPH R 28 28,JOSEPH R. HALL,1/1/1900,,OG_R,pl_oil,,Plugged,https://wellwiki.org/wiki/34-167-61196,,"1909519"
34-159-60014,"60014","40.50295861","-83.29109156",OH,,,GULLIFORD SSC-20,DIV OF GEOLOGICAL SURVEY,1/1/1900,,ST_R,pl_stratigraphic,,Plugged,https://wellwiki.org/wiki/34-159-60014,,"1909520"
34-163-20146,"20146","39.26220474","-82.66930579",OH,,,SMITH WILBER E 1 1,THE OHIO FUEL GAS CO,6/16/1958,,GS_R,storage,,Injection / Storage / Service,https://wellwiki.org/wiki/34-163-20146,,"1909521"
34-163-20875,"20875","39.23172547","-82.29521113",OH,,,BECKLEY ET AL # 1 1,CHARTOR ENERGY CORP,12/6/1985,,OG_R,oil_gas,,Production Well,https://wellwiki.org/wiki/34-163-20875,,"1909522"
34-167-20370,"20370","39.40711933","-81.22510692",OH,,,WEST ELLA 4 4,F.C. HUTH ETAL,6/12/1944,,OG_R,dry,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/34-167-20370,,"1909523"
34-167-20529,"20529","39.5104053","-81.27459316",OH,,,SMITH ALEXANDER D 1 1,LAWRENCE SMITH ETAL,5/1/1946,,OG_R,dry,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/34-167-20529,,"1909524"
34-167-22110,"22110","39.55125481","-81.21917618",OH,,,MULENEX DB 4,HENRY OIL AND GAS CO.,8/3/1956,,OG_R,dry,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/34-167-22110,,"1909525"
34-167-22623,"22623","39.54654851","-81.36922026",OH,,,FULTON JOHN 3 3,DYER & VANWEY,7/11/1962,,OG_R,dry,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/34-167-22623,,"1909526"
34-167-22755,"22755","39.46593206","-81.50805916",OH,,,BUCHMAN # 1 1,PETROLEUM INVESTMENT CORP.,4/24/1963,,OG_R,oil_gas,,Production Well,https://wellwiki.org/wiki/34-167-22755,,"1909527"
